Title: Statistics of Long Period Gas Giant Planets in Known Planetary Systems 
Authors: Bryan M.L., Knutson H.A., Howard A.W., Ngo H., Batygin K., Crepp J.R.,
         Fulton B.J., Hinkley S., Isaacson H., Johnson J.A., Marcy G.W., 
         Wright J.T. 
Table: RVs for Systems With New Planets: HD 156279, HD 33142, GJ 317, HD 90589,
       HD 4203, HD 99706, HD 102329, HD 116029
================================================================================
Byte-by-byte Description of file: apj522694t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID     System identifier
  11- 17 F7.1   d       JD     Julian Date of the observation - 2440000
  19- 24 F6.1   m/s     RVel   Radial velocity
  26- 30 F5.3   m/s   e_RVel   The 1{sigma} uncertainty in RVel
--------------------------------------------------------------------------------
system_identifier JD-2.4e6 RV sigma_RV
HD_95089  15342.8   23.5 1.402
HD_95089  15373.7   30.6 1.435
HD_95089  15400.7   45.3 1.422
HD_95089  15546.1   -1.1 1.309
HD_95089  15634.9  -52.8 1.452
HD_95089  15700.8  -75.0 1.290
HD_95089  15879.1  -40.3 1.199
HD_95089  15973.0  -29.9 1.368
HD_95089  16101.7  -60.7 1.410
HD_95089  16318.9  -10.0 1.461
HD_95089  16486.7  -25.9 1.463
HD_95089  16614.1  -34.1 1.341
HD_95089  16639.1  -22.0 1.131
HD_4203   11757.1    9.5 1.315
HD_4203   11793.0   10.3 1.583
HD_4203   11882.8   45.8 1.391
HD_4203   11883.8   51.1 1.635
HD_4203   11900.8   80.1 1.283
HD_4203   12063.1   21.5 1.526
HD_4203   12065.1   34.0 1.902
HD_4203   12096.1   22.6 1.477
HD_4203   12097.1   24.4 1.808
HD_4203   12128.1   17.9 1.655
HD_4203   12133.1   19.1 1.497
HD_4203   12133.9   16.6 1.574
HD_4203   12162.9    6.8 1.568
HD_4203   12188.0    4.4 1.444
HD_4203   12515.0   22.8 1.522
HD_4203   12536.0   14.9 1.523
HD_4203   12574.8   13.0 1.954
HD_4203   12806.1  108.2 1.466
HD_4203   12897.9   31.1 1.432
HD_4203   13180.1   28.3 1.365
HD_4203   13723.7   52.5 0.924
HD_4203   13751.7   32.0 0.893
HD_4203   13752.8   34.9 0.954
HD_4203   13961.0  -14.7 1.057
HD_4203   13981.9  -19.0 0.913
HD_4203   14339.1  -13.4 1.064
HD_4203   14343.9  -20.5 0.959
HD_4203   14397.8  -21.5 0.950
HD_4203   14430.8  -19.2 0.995
HD_4203   14806.8  -27.5 1.144
HD_4203   15189.8  -24.1 0.931
HD_4203   15381.1    9.6 0.996
HD_4203   15414.0   69.8 1.020
HD_4203   15435.0   56.7 1.034
HD_4203   15522.9   -5.9 1.042
HD_4203   15806.9  -14.8 1.000
HD_4203   16112.1  -28.2 1.028
HD_4203   16472.1  -15.1 1.055
HD_4203   16548.1  -24.7 1.126
HD_4203   16584.9  -26.2 1.051
HD_4203   16586.0  -27.1 1.089
HD_4203   16640.9  -15.0 1.145
HD_4203   16674.7   -1.3 1.099
HD_4203   16708.7   46.9 1.089
HD_4203   17002.8  -13.6 0.927
HD_4203   17002.8  -13.6 0.927
HD_99706  14428.2   29.6 1.310
HD_99706  14429.1   27.3 1.351
HD_99706  14464.1   17.3 1.540
HD_99706  14847.1   -4.5 1.369
HD_99706  14988.8   -8.6 1.307
HD_99706  15174.2   25.6 1.283
HD_99706  15229.1   26.6 1.275
HD_99706  15256.0   23.3 1.200
HD_99706  15257.0   20.1 1.201
HD_99706  15284.9   15.0 1.316
HD_99706  15313.9    7.8 1.279
HD_99706  15343.8    4.4 1.257
HD_99706  15378.7  -10.5 1.294
HD_99706  15404.7   -8.2 1.230
HD_99706  15543.2  -17.5 1.215
HD_99706  15585.1  -19.9 1.117
HD_99706  15606.0  -34.4 1.304
HD_99706  15615.0  -28.8 1.296
HD_99706  15633.9  -29.4 1.268
HD_99706  15664.0  -21.5 1.246
HD_99706  15668.0  -21.4 1.150
HD_99706  15700.8  -27.9 1.230
HD_99706  15734.8  -23.2 1.095
HD_99706  15770.7  -22.0 1.365
HD_99706  15882.1   26.8 1.175
HD_99706  15945.1   13.7 1.372
HD_99706  15972.9   15.8 1.249
HD_99706  16110.7   19.9 1.348
HD_99706  16133.7    9.9 1.208
HD_99706  16290.1   -3.8 1.141
HD_99706  16512.7  -17.0 1.512
HD_99706  16640.2    0.1 1.194
HD_99706  16845.7  -15.1 1.252
HD_102329 14216.8  -45.5 1.133
HD_102329 14544.0   35.0 1.246
HD_102329 14847.1   43.9 1.292
HD_102329 14988.9  -55.1 1.234
HD_102329 15015.8  -69.6 1.213
HD_102329 15044.7  -93.0 1.159
HD_102329 15172.1  -69.0 1.286
HD_102329 15189.1  -61.9 1.254
HD_102329 15229.1  -38.3 1.280
HD_102329 15255.9  -14.5 1.104
HD_102329 15289.9   24.7 1.136
HD_102329 15313.8   23.2 1.133
HD_102329 15342.8   34.8 1.102
HD_102329 15373.7   52.0 1.212
HD_102329 15402.8   47.6 1.230
HD_102329 15606.0   43.9 1.161
HD_102329 15615.1   34.9 1.301
HD_102329 15633.9   15.0 1.156
HD_102329 15668.0    0.8 1.153
HD_102329 15700.8    6.5 1.201
HD_102329 15882.2  -32.1 1.166
HD_102329 15945.2    7.0 1.267
HD_102329 16027.8   41.5 1.166
HD_102329 16099.8   62.1 1.281
HD_102329 16145.7   62.0 1.298
HD_102329 16614.1  -54.7 1.022
HD_102329 16638.1  -41.3 1.251
HD_116029 14216.8  -29.0 1.136
HD_116029 14216.9  -26.1 1.004
HD_116029 14345.8   17.9 1.377
HD_116029 14635.8  -11.8 1.053
HD_116029 14955.0   -8.4 1.242
HD_116029 14983.9   -3.9 1.238
HD_116029 15043.7   28.2 1.272
HD_116029 15197.2   42.3 1.201
HD_116029 15232.0   19.9 1.297
HD_116029 15261.0   26.2 1.251
HD_116029 15285.2   18.8 1.260
HD_116029 15313.8    2.6 1.037
HD_116029 15342.9   -3.0 1.173
HD_116029 15379.8  -19.1 1.081
HD_116029 15404.8  -27.8 1.155
HD_116029 15585.1   -2.7 1.140
HD_116029 15606.0   -7.9 1.217
HD_116029 15615.0   -1.8 1.359
HD_116029 15633.9   -3.0 1.166
HD_116029 15668.0   12.4 1.204
HD_116029 15703.8   14.5 1.146
HD_116029 15905.1  -14.6 1.195
HD_116029 15961.1  -16.3 1.116
HD_116029 16110.8  -19.5 1.123
HD_116029 16174.7   10.0 1.693
HD_116029 16513.7  -19.0 1.214
HD_116029 16639.1  -50.8 1.203
HD_116029 16894.7   44.2 1.207
