target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD45364;2453695.73422;-6.225;1.029;16461.254;1.052;21.0805582846;0.593673100206;16461.740958;0.475349956699;21.0805582846;0.593673100206;14.819562489208094;4.833557624104008;-11.7650155015;1.43865272421;0.4476815488651324;0.0006099819076027149;0.275525347099309;0.0007628213876889465;0.38069416687928187;0.000988227957428613;0;6.13028621382;36.3518118685;-0.00174022368098;16.3;123.5;2453695.73347;11.3263323989;11.3216906237;-0.298;-9999999;0.004;1.161;0.840;0.483;-9999999;0.51;270.0001;14.8362079082;4.9129349037;2005-11-21T05:30:17.530;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453695.73768;-5.494;1.049;16461.273;1.064;21.8109703434;0.627894747514;16461.7539272;0.501790814527;21.8109703434;0.627894747514;21.86919137902541;5.973790893243797;-15.1454119146;1.34289141176;0.44797827412190083;0.0006418201594910266;0.27561908861476325;0.0008046528676603785;0.38352324144431715;0.0010460849292324742;0;6.12783436815;36.3636396407;-0.0034279091338;16.3;117.3;2453695.73693;11.3185883153;11.3139454269;0.02;-9999999;0.004;1.160;0.840;0.477;-9999999;0.5;270.0005;21.8764762964;6.03310044515;2005-11-21T05:35:19.350;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453759.60335;-25.785;0.965;16440.562;1.056;0.321662091405;0.410581444553;16440.4679522;0.331200161636;0.321662091405;0.410581444553;-2.0650010618448094;3.827251299198953;-1.51196487952;0.870123302608;0.4437084507708183;0.00041468855327741474;0.27937567161953236;0.0005208208494938671;0.3703699020115993;0.0006774271437223533;0;6.1405213211;36.2766415022;-0.00248788078136;16.3;180.4;2453759.60271;-7.05826505624;-7.06312575498;0.175;-9999999;0.005;-0.038;0.873;-0.099;-9999999;0.47;899.9995;-2.05076957694;3.83091348636;2006-01-24T02:16:22.109;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453761.61851;-27.071;0.985;16439.720;0.836;-0.96927995604;0.455103551397;16439.4233174;0.369181668609;-0.96927995604;0.455103551397;-0.99365936344068;3.534375161596234;-4.28744462977;1.05799840442;0.44359370219801264;0.00046185686663192715;0.27948548499200154;0.0005811058828558523;0.3786221372009718;0.0007545226433265595;0;6.13991126322;36.2973569943;-0.00170142794386;16.3;162.3;2453761.61787;-7.66154948452;-7.66641680297;-0.195;-9999999;0.005;-0.043;0.873;-0.302;-9999999;0.48;900.0019;-1.00615981989;3.52629336876;2006-01-26T02:38:07.075;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453764.65167;-26.325;0.930;16440.152;0.956;-0.231588831429;0.319494400924;16441.0057111;0.254189193003;-0.231588831429;0.319494400924;3.7105272465024104;3.306335850891584;-8.04855628859;0.809335417894;0.4405102654540189;0.0003188549292986659;0.2802678329027994;0.0004005113460115706;0.3696359329575968;0.0005193840180051343;0;6.13406581999;36.3109627096;-0.0033551870039;16.3;235.5;2453764.65104;-8.57339767046;-8.57826002688;0.12;-9999999;0.005;-0.052;0.873;0.849;-9999999;0.48;900.0001;3.70168422475;3.3060180053;2006-01-29T03:25:59.833;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453782.66205;-23.785;0.700;16442.897;0.639;1.75420751718;0.487821938128;16441.8759222;0.390587730278;1.75420751718;0.487821938128;2.5892941605833943;3.730037206392195;-1.49031212585;1.03811459958;0.43822925405545476;0.0004556633270015776;0.2779404640062435;0.000595761137248495;0.3752386809398062;0.0007615303316487334;0;6.14127631365;36.2726474084;-0.00418507322394;16.3;160.0;2453782.66141;-12.945707559;-12.9505462493;1.367;-9999999;0.005;-0.606;0.501;-1.026;-9999999;0.5;900.0011;2.57623357535;3.74988889208;2006-02-16T03:41:34.157;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453787.63821;-20.257;0.900;16446.603;0.964;5.58581414003;0.388267726425;16446.4122893;0.31255625487;5.58581414003;0.388267726425;8.425891142970286;3.245501131241718;-0.329896048324;0.760747976275;0.4483547809604165;0.00039894610439684746;0.2820690546246918;0.0004958379191236299;0.3777381280237869;0.0006417426769179615;0;6.13704763589;36.2657635583;-0.00211906897052;16.3;189.9;2453787.63757;-13.8933307635;-13.8981778275;-0.32;-9999999;0.005;-0.302;0.812;-0.196;-9999999;0.5;900.0015;8.41619154155;3.28891502471;2006-02-21T03:07:32.708;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453809.55603;-12.375;0.795;16454.912;0.808;12.5839801379;0.374357929175;16453.5645249;0.301469620607;12.5839801379;0.374357929175;3.7967681175531447;3.2871200637492946;-1.15519013204;0.965730492346;0.4430572289687439;0.0003697272532409826;0.27637092038296424;0.00046735932416297417;0.37271086860763747;0.0005996740255187844;0;6.13675093746;36.2626344556;-0.00362034962704;16.3;201.6;2453809.55539;-16.7505234132;-16.7554051797;-0.12;-9999999;0.005;-1.186;0.702;-1.352;-9999999;0.49;899.9981;3.82250406026;3.3617260646;2006-03-15T01:10:59.068;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453811.58687;-12.564;0.808;16454.515;0.857;14.5189915212;0.402262573557;16455.1881543;0.324189688203;14.5189915212;0.402262573557;4.53373652898875;3.957052021396072;-0.536815104365;0.855268411989;0.44483905390582124;0.00041387957830268235;0.27653687469729105;0.0005155591833275042;0.37583560400758975;0.0006646659762726463;0;6.13757063033;36.2659756998;0.000891964608186;16.3;183.0;2453811.58624;-16.9674987485;-16.9723862663;0.566;-9999999;0.005;0.937;0.701;0.668;-9999999;0.52;899.9999;4.54668305654;4.02474109887;2006-03-17T01:55:06.242;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453814.57905;-13.031;0.953;16454.255;1.048;12.7241343576;0.381900908389;16453.5911905;0.307234650627;12.7241343576;0.381900908389;-1.3881221812839517;3.4205908692384774;-6.77216765298;0.817548726921;0.44328572959231993;0.00038960627044794325;0.28273165596726196;0.00048751460582195926;0.36360379235506984;0.0006253097487607381;0;6.13326152934;36.2952839115;-0.00101176013979;16.3;193.6;2453814.57841;-17.1521871528;-17.1570566978;-0.095;-9999999;0.005;-0.390;0.873;-0.669;-9999999;0.49;899.9983;-1.37694244506;3.49160021067;2006-03-20T01:44:31.952;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
